,ID,知识,艺术,体育,品德,劳动,消费
0,14452,A1,B1,C1,D1,E1,F7
1,14453,A2,B2,C2,D2,E1,F1
2,14454,A2,B1,C2,D2,E2,F1
3,14455,A2,B3,C1,D1,E1,F1
4,14456,A2,B3,C2,D2,E1,F7
5,14457,A2,B3,C2,D2,E4,F1
6,14458,A2,B2,C3,D3,E1,F1
7,14459,A2,B3,C2,D2,E1,F1
8,14460,A2,B1,C2,D2,E1,F1
9,14461,A2,B2,C2,D2,E1,F1
10,14462,A2,B2,C2,D2,E4,F1
11,14463,A2,B1,C2,D2,E1,F1
12,14464,A2,B2,C2,D2,E3,F7
13,14465,A2,B1,C2,D2,E1,F1
14,14466,A2,B2,C2,D2,E4,F1
15,14467,A2,B3,C2,D2,E4,F1
16,14468,A2,B1,C2,D2,E1,F7
17,14469,A2,B1,C2,D2,E1,F1
18,14470,A2,B3,C2,D2,E1,F7
19,14471,A2,B2,C2,D2,E1,F1
20,14472,A2,B4,C3,D3,E1,F1
21,14473,A2,B2,C2,D2,E1,F1
22,14474,A2,B2,C2,D2,E1,F7
23,14475,A2,B1,C1,D1,E1,F1
24,14476,A2,B3,C3,D3,E1,F2
25,14477,A2,B2,C2,D2,E1,F1
26,14478,A2,B2,C2,D2,E1,F7
27,14479,A2,B3,C2,D2,E4,F1
28,14480,A2,B3,C2,D2,E1,F1
29,14481,A2,B2,C2,D2,E1,F1
30,14482,A2,B1,C2,D2,E1,F1
31,14483,A2,B4,C2,D2,E4,F1
32,14484,A2,B1,C1,D1,E1,F1
33,14485,A2,B1,C2,D2,E1,F1
34,14486,A2,B2,C2,D2,E1,F1
35,14487,A2,B2,C2,D2,E1,F1
36,14488,A2,B3,C2,D2,E1,F1
37,14489,A2,B2,C2,D2,E1,F1
38,14490,A2,B2,C2,D2,E4,F1
39,14491,A2,B2,C2,D2,E1,F1
40,14492,A2,B2,C2,D2,E1,F1
41,14493,A2,B1,C2,D2,E1,F1
42,14494,A2,B2,C3,D3,E1,F1
43,14495,A2,B1,C2,D2,E1,F1
44,14496,A2,B1,C2,D2,E1,F1
45,14497,A2,B2,C2,D2,E1,F1
46,14498,A2,B1,C2,D2,E1,F1
47,14499,A2,B2,C2,D2,E2,F1
48,14500,A1,B2,C2,D2,E1,F1
49,14501,A2,B1,C2,D2,E1,F1
50,14502,A2,B1,C2,D2,E3,F1
51,14503,A2,B2,C2,D2,E1,F1
52,14504,A2,B2,C2,D2,E1,F1
53,14505,A2,B2,C1,D1,E1,F1
54,14506,A2,B2,C2,D2,E1,F1
55,14507,A2,B1,C2,D2,E2,F1
56,14508,A2,B2,C2,D2,E1,F5
57,14509,A2,B1,C2,D2,E1,F1
58,14510,A2,B3,C2,D2,E1,F1
59,14511,A2,B2,C2,D2,E1,F1
60,14512,A2,B2,C3,D3,E1,F1
61,14513,A2,B2,C3,D3,E1,F1
62,14514,A2,B2,C2,D2,E1,F1
63,14515,A1,B1,C3,D3,E1,F1
64,14516,A2,B1,C2,D2,E1,F1
65,14517,A2,B3,C2,D2,E1,F7
66,14518,A2,B2,C2,D2,E1,F1
67,14519,A2,B1,C2,D2,E1,F1
68,14520,A2,B1,C2,D2,E1,F1
69,14521,A2,B1,C2,D2,E1,F1
70,14522,A2,B2,C2,D2,E1,F1
71,14523,A2,B2,C2,D2,E1,F1
72,14524,A2,B2,C2,D2,E3,F1
73,14525,A2,B3,C2,D2,E4,F7
74,14526,A2,B2,C2,D2,E1,F1
75,14527,A2,B3,C2,D2,E1,F1
76,14528,A2,B2,C2,D2,E1,F1
77,14529,A2,B3,C3,D3,E1,F1
78,14530,A2,B1,C3,D3,E3,F1
79,14531,A2,B1,C2,D2,E2,F1
80,14532,A2,B1,C2,D2,E1,F1
81,14533,A2,B1,C2,D2,E1,F7
82,14534,A2,B2,C2,D2,E1,F1
83,14535,A2,B3,C2,D2,E1,F1
84,14536,A2,B2,C2,D2,E1,F1
85,14537,A2,B2,C2,D2,E1,F1
86,14538,A2,B3,C2,D2,E1,F1
87,14539,A2,B1,C2,D2,E1,F1
88,14540,A2,B2,C3,D3,E1,F1
89,14541,A2,B2,C3,D3,E1,F1
90,14542,A2,B2,C2,D2,E1,F1
91,14543,A2,B2,C2,D2,E1,F1
92,14544,A2,B1,C3,D3,E1,F1
93,14545,A2,B2,C2,D2,E1,F1
94,14546,A2,B2,C3,D3,E3,F1
95,14547,A2,B2,C2,D2,E1,F1
96,14548,A2,B2,C2,D2,E1,F1
97,14549,A2,B2,C2,D2,E1,F1
98,14550,A2,B2,C3,D3,E1,F1
99,14551,A2,B2,C2,D2,E1,F1
100,14552,A2,B2,C2,D2,E1,F1
101,14553,A2,B2,C3,D3,E1,F1
102,14554,A2,B1,C2,D2,E1,F1
103,14555,A2,B4,C2,D2,E1,F7
104,14556,A2,B3,C2,D2,E1,F1
105,14557,A2,B1,C2,D2,E4,F1
106,14558,A2,B3,C3,D3,E1,F1
107,14559,A2,B1,C2,D2,E1,F1
108,14560,A2,B1,C2,D2,E1,F1
109,14561,A2,B2,C2,D2,E1,F1
110,14562,A2,B3,C3,D3,E1,F1
111,14563,A2,B1,C3,D3,E1,F1
112,14564,A2,B1,C2,D2,E1,F1
113,14565,A2,B2,C3,D3,E1,F1
114,14566,A2,B1,C2,D2,E1,F1
115,14567,A2,B1,C3,D3,E1,F1
116,14568,A2,B2,C3,D3,E2,F1
117,14569,A2,B1,C2,D2,E1,F1
118,14570,A2,B2,C2,D2,E1,F1
119,14571,A2,B2,C2,D2,E3,F1
120,14572,A2,B3,C2,D2,E1,F1
121,14573,A2,B2,C3,D3,E1,F1
122,14574,A2,B2,C3,D3,E1,F1
123,14575,A2,B2,C3,D3,E1,F1
124,14576,A2,B1,C2,D2,E3,F1
125,14577,A2,B1,C3,D3,E2,F1
126,14578,A2,B2,C2,D2,E1,F1
127,14579,A2,B2,C2,D2,E2,F3
128,14580,A2,B3,C3,D3,E1,F1
129,14581,A2,B1,C3,D3,E4,F7
130,14582,A2,B1,C2,D2,E1,F1
131,14583,A2,B1,C2,D2,E2,F1
132,14584,A2,B2,C2,D2,E1,F1
133,14585,A2,B1,C3,D3,E1,F1
134,14586,A2,B2,C2,D2,E1,F1
135,14587,A2,B1,C2,D2,E1,F1
136,14588,A2,B1,C2,D2,E1,F1
137,14589,A2,B2,C3,D3,E1,F1
138,14590,A2,B1,C3,D3,E1,F1
139,14591,A2,B1,C3,D3,E4,F1
140,14592,A2,B1,C2,D2,E1,F1
141,14593,A2,B1,C2,D2,E4,F1
142,14594,A2,B2,C3,D3,E1,F7
143,14595,A2,B2,C2,D2,E1,F1
144,14596,A2,B3,C2,D2,E1,F1
145,14597,A2,B2,C1,D1,E1,F1
146,14598,A2,B1,C2,D2,E1,F1
147,14599,A2,B2,C2,D2,E1,F1
148,14600,A2,B1,C2,D2,E1,F1
149,14601,A2,B2,C2,D2,E4,F1
150,14602,A2,B2,C2,D2,E1,F1
151,14603,A2,B2,C2,D2,E4,F1
152,14604,A2,B2,C3,D3,E1,F7
153,14605,A2,B2,C2,D2,E4,F1
154,14606,A2,B2,C2,D2,E1,F1
155,14607,A2,B1,C2,D2,E1,F1
156,14608,A2,B2,C3,D3,E1,F1
157,14609,A2,B1,C2,D2,E4,F1
158,14610,A2,B3,C2,D2,E1,F1
159,14611,A2,B1,C2,D2,E4,F1
160,14612,A2,B4,C2,D2,E1,F1
161,14613,A2,B2,C3,D3,E1,F1
162,14614,A2,B2,C2,D2,E1,F1
163,14615,A2,B1,C2,D2,E1,F1
164,14616,A2,B1,C3,D3,E1,F1
165,14617,A2,B1,C2,D2,E1,F1
166,14618,A2,B1,C2,D2,E1,F1
167,14619,A2,B2,C3,D3,E1,F1
168,14620,A2,B1,C2,D2,E1,F1
169,14621,A2,B2,C3,D3,E1,F1
170,14622,A2,B1,C2,D2,E1,F1
171,14623,A2,B2,C3,D3,E1,F7
172,14624,A2,B3,C2,D2,E1,F1
173,14625,A2,B2,C2,D2,E1,F1
174,14626,A2,B1,C2,D2,E1,F1
175,14627,A2,B2,C3,D3,E1,F1
176,14628,A2,B2,C2,D2,E1,F7
177,14629,A2,B2,C2,D2,E1,F7
178,14630,A2,B1,C2,D2,E1,F1
179,14631,A2,B1,C2,D2,E1,F1
180,14632,A2,B2,C2,D2,E1,F1
181,14633,A2,B2,C3,D3,E1,F1
182,14634,A2,B2,C2,D2,E1,F1
183,14635,A2,B2,C3,D3,E1,F1
184,14636,A2,B1,C2,D2,E1,F1
185,14637,A2,B2,C2,D2,E1,F1
186,14638,A2,B1,C2,D2,E1,F1
187,14639,A2,B1,C2,D2,E1,F1
188,14640,A2,B1,C2,D2,E4,F1
189,14641,A2,B2,C2,D2,E1,F1
190,14642,A2,B2,C3,D3,E1,F1
191,14643,A2,B3,C2,D2,E1,F1
192,14644,A2,B2,C2,D2,E4,F7
193,14645,A2,B1,C2,D2,E1,F1
194,14646,A2,B1,C2,D2,E1,F1
195,14647,A2,B2,C2,D2,E1,F1
196,14648,A2,B1,C2,D2,E1,F1
197,14649,A2,B2,C3,D3,E4,F1
198,14650,A2,B2,C2,D2,E1,F1
199,14651,A2,B2,C3,D3,E1,F1
200,14652,A2,B2,C2,D2,E1,F1
201,14653,A2,B3,C2,D2,E1,F1
202,14654,A2,B1,C3,D3,E4,F1
203,14655,A2,B2,C3,D3,E4,F1
204,14656,A2,B2,C2,D2,E1,F1
205,14657,A2,B1,C2,D2,E1,F1
206,14658,A2,B3,C3,D3,E1,F1
207,14659,A2,B1,C1,D1,E1,F1
208,14660,A2,B2,C2,D2,E1,F1
209,14661,A2,B2,C2,D2,E1,F1
210,14662,A2,B2,C3,D3,E1,F1
211,14663,A2,B2,C3,D3,E1,F1
212,14664,A2,B3,C3,D3,E1,F1
213,14665,A2,B2,C1,D1,E1,F1
214,14666,A2,B1,C1,D1,E1,F1
215,14667,A2,B2,C1,D1,E4,F1
216,14668,A2,B4,C1,D1,E1,F1
217,14669,A2,B2,C1,D1,E1,F1
218,14670,A2,B2,C1,D1,E1,F1
219,14671,A2,B2,C1,D1,E1,F1
220,14672,A2,B1,C1,D1,E1,F7
221,14673,A2,B3,C1,D1,E1,F1
222,14674,A2,B1,C1,D1,E4,F1
223,14675,A2,B2,C1,D1,E1,F1
224,14676,A2,B1,C1,D1,E1,F1
225,14677,A2,B1,C1,D1,E1,F1
226,14678,A2,B2,C1,D1,E1,F1
227,14679,A2,B1,C1,D1,E1,F1
228,14680,A2,B1,C1,D1,E1,F1
229,14681,A2,B1,C1,D1,E1,F1
230,14682,A2,B2,C1,D1,E1,F1
231,14683,A2,B2,C1,D1,E4,F1
232,14684,A2,B2,C1,D1,E1,F1
233,14685,A2,B1,C1,D1,E1,F2
234,14686,A2,B1,C1,D1,E1,F1
235,14687,A2,B2,C1,D1,E1,F1
236,14688,A2,B2,C1,D1,E1,F1
237,14689,A2,B2,C1,D1,E4,F1
238,14690,A2,B2,C1,D1,E1,F1
239,14691,A2,B1,C1,D1,E1,F1
240,14692,A2,B1,C1,D1,E4,F1
241,14693,A2,B2,C1,D1,E1,F7
242,14694,A2,B1,C1,D1,E1,F1
243,14695,A2,B1,C1,D1,E4,F1
244,14696,A2,B2,C1,D1,E1,F1
245,14697,A2,B2,C1,D1,E1,F1
246,14698,A2,B1,C1,D1,E1,F3
247,14699,A2,B1,C2,D2,E1,F1
248,14700,A2,B1,C2,D2,E4,F1
249,14701,A2,B1,C2,D2,E1,F1
250,14702,A2,B1,C2,D2,E4,F1
251,14703,A2,B1,C2,D2,E1,F7
252,14704,A2,B2,C2,D2,E4,F1
253,14705,A2,B3,C2,D2,E1,F1
254,14706,A2,B1,C2,D2,E1,F1
255,14707,A2,B1,C2,D2,E1,F1
256,14708,A2,B1,C2,D2,E1,F1
257,14709,A2,B2,C2,D2,E4,F1
258,14710,A2,B3,C2,D2,E1,F1
259,14711,A2,B1,C2,D2,E1,F7
260,14712,A2,B2,C2,D2,E1,F1
261,14713,A2,B2,C1,D1,E1,F1
262,14714,A2,B1,C2,D2,E1,F3
263,14715,A2,B3,C2,D2,E1,F1
264,14716,A2,B1,C1,D1,E1,F1
265,14717,A2,B1,C3,D3,E1,F1
266,14718,A2,B1,C2,D2,E4,F1
267,14719,A2,B2,C2,D2,E1,F1
268,14720,A2,B1,C2,D2,E1,F7
269,14721,A2,B2,C2,D2,E1,F1
270,14722,A2,B2,C2,D2,E4,F1
271,14723,A2,B3,C2,D2,E1,F4
272,14724,A2,B1,C2,D2,E1,F1
273,14725,A2,B2,C2,D2,E1,F1
274,14726,A2,B2,C2,D2,E1,F1
275,14727,A2,B1,C2,D2,E4,F1
276,14728,A2,B2,C2,D2,E1,F1
277,14729,A2,B1,C1,D1,E1,F1
278,14730,A2,B2,C2,D2,E1,F1
279,14731,A2,B2,C2,D2,E1,F1
280,14732,A2,B3,C2,D2,E1,F1
281,14733,A2,B2,C2,D2,E1,F1
282,14734,A2,B2,C2,D2,E4,F1
283,14735,A2,B2,C2,D2,E1,F1
284,14736,A2,B2,C2,D2,E1,F1
285,14737,A2,B1,C2,D2,E1,F1
286,14738,A2,B1,C2,D2,E1,F1
287,14739,A2,B3,C2,D2,E1,F1
288,14740,A2,B1,C2,D2,E1,F1
289,14741,A2,B2,C2,D2,E1,F1
290,14742,A2,B2,C2,D2,E1,F1
291,14743,A2,B2,C2,D2,E1,F1
292,14744,A2,B2,C2,D2,E1,F1
293,14745,A2,B1,C2,D2,E4,F1
294,14746,A2,B1,C1,D1,E1,F7
295,14747,A2,B2,C2,D2,E1,F1
296,14748,A2,B2,C2,D2,E1,F7
297,14749,A2,B2,C2,D2,E1,F1
298,14750,A2,B2,C2,D2,E1,F1
299,14751,A2,B2,C2,D2,E1,F1
300,14752,A2,B3,C2,D2,E1,F1
301,14753,A2,B2,C2,D2,E1,F1
302,14754,A2,B2,C2,D2,E1,F1
303,14755,A2,B2,C1,D1,E1,F1
304,14756,A2,B1,C2,D2,E1,F1
305,14757,A2,B2,C2,D2,E4,F1
306,14758,A2,B2,C2,D2,E1,F1
307,14759,A2,B1,C2,D2,E1,F1
308,14760,A2,B2,C2,D2,E1,F1
309,14761,A2,B1,C1,D1,E1,F1
310,14762,A2,B2,C2,D2,E1,F1
311,14763,A2,B2,C2,D2,E1,F1
312,14764,A2,B1,C2,D2,E1,F7
313,14765,A2,B2,C2,D2,E1,F1
314,14766,A2,B3,C2,D2,E1,F1
315,14767,A2,B1,C2,D2,E1,F1
316,14768,A2,B2,C2,D2,E1,F1
317,14769,A2,B2,C2,D2,E1,F3
318,14770,A2,B2,C2,D2,E1,F1
319,14771,A2,B2,C2,D2,E1,F1
320,14772,A2,B2,C2,D2,E1,F7
321,14773,A2,B3,C2,D2,E1,F1
322,14774,A2,B3,C2,D2,E1,F1
323,14775,A2,B2,C2,D2,E1,F1
324,14776,A2,B2,C2,D2,E1,F1
325,14777,A2,B2,C2,D2,E1,F1
326,14778,A2,B2,C2,D2,E1,F1
327,14779,A2,B2,C2,D2,E1,F1
328,14780,A2,B2,C2,D2,E1,F1
329,14781,A2,B3,C2,D2,E4,F7
330,14782,A2,B2,C2,D2,E1,F1
331,14783,A2,B4,C2,D2,E1,F1
332,14784,A2,B1,C2,D2,E1,F1
333,14785,A2,B2,C2,D2,E1,F1
334,14786,A2,B3,C2,D2,E1,F1
335,14787,A2,B3,C2,D2,E4,F1
336,14788,A2,B3,C2,D2,E1,F1
337,14789,A2,B1,C2,D2,E1,F1
338,14790,A2,B1,C2,D2,E4,F1
339,14791,A2,B2,C2,D2,E1,F1
340,14792,A2,B2,C2,D2,E1,F1
341,14793,A2,B2,C2,D2,E1,F1
